CODE;COUNTRY;SUB-CHAPTER;TITLE;UNIT;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
EU27.1.0.0.0.UVGD;European Union;01 Gross domestic product;Gross domestic product at current prices ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5758.71;6027.58;6337.89;6636.53;6819.07;7110.57;7431.02;7869.61;8242.05;8539.14;8767.88;9167.95;9560.76;10112.65;10738.99;11085.40;10587.70;10978.27;11322.77;11390.02;11516.66;11781.67;12213.01;12550.46;13046.77;13485.30;13923.34;13013.34;13983.68                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
EU15.1.0.0.0.UVGD;European Union (15 countries);01 Gross domestic product;Gross domestic product at current prices ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6238.23;6490.58;6508.86;6804.55;7059.25;7418.53;7826.88;8178.41;8597.96;9197.55;9546.30;9867.61;10018.54;10491.35;10881.47;11467.14;12062.32;12011.68;11371.75;11828.48;12168.22;12422.24;12517.89;12960.80;13663.84;13765.41;14084.39;14488.42;14931.47;13969.17;15017.45                                                                                                                                                                                                                                                                                                                                                                                                                                                              
EA19.1.0.0.0.UVGD;Euro area;01 Gross domestic product;Gross domestic product at current prices ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5258.51;5483.86;5743.48;5987.59;6131.71;6381.79;6674.09;7025.05;7354.26;7603.72;7823.45;8156.48;8447.66;8896.71;9390.57;9622.96;9274.98;9534.70;9799.21;9836.95;9933.83;10167.90;10524.28;10817.19;11200.95;11561.46;11906.72;11135.78;11992.19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
EA12.1.0.0.0.UVGD;Euro area (12 countries);01 Gross domestic product;Gross domestic product at current prices ;Mrd ECU/EUR, Standard aggregation;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4901.04;5164.95;5220.27;5438.23;5689.15;5927.65;6063.11;6307.50;6596.93;6938.32;7260.94;7502.44;7713.53;8035.55;8312.90;8743.08;9207.69;9420.07;9089.86;9343.60;9596.02;9627.13;9720.52;9947.72;10295.68;10580.91;10949.28;11292.12;11622.53;10866.63;11700.72                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DU15.1.0.0.0.UVGD;EU15 (including D_W West-Germany);01 Gross domestic product;Gross domestic product at current prices ;Mrd ECU/EUR, Standard aggregation;314.874;343.332;374.658;409.505;453.756;495.936;536.439;572.694;623.343;697.486;786.477;872.534;971.119;1123.531;1303.669;1465.163;1680.999;1860.970;2046.482;2326.263;2624.248;2909.472;3181.972;3399.013;3690.129;3965.555;4188.338;4411.070;4817.929;5280.454;5687.188;6076.097;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DA12.1.0.0.0.UVGD;EA12 (including D_W West-Germany);01 Gross domestic product;Gross domestic product at current prices ;Mrd ECU/EUR, Standard aggregation;224.694;247.667;273.578;301.629;334.982;366.659;397.415;425.891;473.656;533.055;601.836;668.965;750.755;888.688;1038.636;1161.665;1342.845;1492.360;1638.769;1845.300;2039.327;2216.448;2436.712;2617.478;2839.644;3031.256;3282.748;3455.919;3711.665;4071.273;4438.828;4738.910;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BEL.1.0.0.0.UVGD;Belgium;01 Gross domestic product;Gross domestic product at current prices ;Mrd EURO-BEF;14.9664;15.8938;16.9910;18.2776;20.4572;22.2956;23.9390;25.6590;27.4358;30.4319;33.8364;36.8178;40.8672;46.4351;54.1302;60.1243;68.3368;73.9212;79.1080;85.0063;91.9382;96.3925;104.3078;110.5050;119.3899;126.9783;132.9088;138.2645;147.9356;160.4111;170.0968;178.1976;187.1210;192.7214;203.1069;210.4891;214.2871;224.1015;232.6238;242.3076;256.3764;264.3349;273.2559;281.2002;296.8197;310.0376;325.1515;343.6189;351.7431;346.4728;363.1401;375.9678;386.1747;392.8800;403.0033;416.7014;430.3721;446.3649;459.8198;473.6389;446.0548;483.3116                                                                                                                                                                                                                                                                                                                          
BGR.1.0.0.0.UVGD;Bulgaria;01 Gross domestic product;Gross domestic product at current prices ;Mrd BGN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0660;0.1972;0.2918;0.4344;0.7637;1.2757;2.1871;19.0324;26.4600;25.0429;28.1249;30.9867;34.0687;36.6379;41.2013;47.0172;53.6084;63.4549;72.7903;73.1473;74.4067;80.6819;82.2090;81.9194;83.8572;89.3328;95.0920;102.3079;109.6948;118.6688;110.6814;120.2090                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CZE.1.0.0.0.UVGD;Czechia;01 Gross domestic product;Gross domestic product at current prices ;Mrd CZK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;674.251;869.888;976.497;1201.088;1370.455;1586.447;1818.342;1958.725;2146.389;2242.417;2379.393;2568.309;2681.644;2810.382;3062.444;3264.931;3512.798;3840.117;4024.117;3930.409;3962.464;4033.755;4059.912;4098.128;4313.789;4595.783;4767.990;5047.267;5323.556;5652.553;5377.760;5736.396                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DNK.1.0.0.0.UVGD;Denmark;01 Gross domestic product;Gross domestic product at current prices ;Mrd DKK;43.938;48.754;54.935;58.477;66.844;75.086;82.414;90.846;101.292;115.612;128.066;141.736;161.449;185.905;208.205;232.574;269.461;298.865;332.877;370.197;400.868;440.780;503.384;554.597;612.129;663.955;712.645;748.427;777.844;821.734;855.557;890.551;923.014;928.466;993.286;1036.483;1088.024;1146.129;1185.988;1241.521;1326.912;1371.526;1410.271;1436.751;1506.001;1585.984;1682.260;1738.845;1801.470;1722.143;1810.926;1846.854;1895.002;1929.677;1981.165;2036.356;2107.808;2175.106;2245.954;2321.488;2196.366;2350.239                                                                                                                                                                                                                                                                                                                                                    
